datetime,open,close,high,low,volume,成交额,均价
2025-12-19 14:04:00,0.0,1409.0,1409.24,1408.83,63,8876603.0,1407.523
2025-12-19 14:05:00,0.0,1408.66,1408.99,1408.04,44,6196987.0,1407.525
2025-12-19 14:06:00,0.0,1409.08,1409.18,1408.06,45,6339201.0,1407.528
2025-12-19 14:07:00,0.0,1409.89,1409.89,1409.18,49,6920105.0,1407.532
2025-12-19 14:08:00,0.0,1410.0,1410.0,1409.82,47,6556185.0,1407.537
2025-12-19 14:09:00,0.0,1409.95,1410.0,1409.87,57,8036563.0,1407.544
2025-12-19 14:10:00,0.0,1409.81,1409.95,1409.81,58,8177379.0,1407.55
2025-12-19 14:11:00,0.0,1409.29,1409.81,1409.28,49,6906850.0,1407.555
2025-12-19 14:12:00,0.0,1409.88,1409.9,1409.25,53,7470378.0,1407.56
2025-12-19 14:13:00,0.0,1410.0,1410.0,1409.8,47,6626722.0,1407.565
2025-12-19 14:14:00,0.0,1409.5,1410.0,1409.5,43,6062662.0,1407.57
2025-12-19 14:15:00,0.0,1409.95,1409.95,1409.5,52,7330944.0,1407.575
2025-12-19 14:16:00,0.0,1409.98,1410.0,1409.86,73,10292638.0,1407.583
2025-12-19 14:17:00,0.0,1410.0,1410.0,1409.93,39,5498892.0,1407.587
2025-12-19 14:18:00,0.0,1409.84,1410.0,1409.82,42,5921575.0,1407.592
2025-12-19 14:19:00,0.0,1410.08,1410.08,1409.83,102,14366223.0,1407.603
2025-12-19 14:20:00,0.0,1410.66,1410.66,1410.1,45,6347103.0,1407.609
2025-12-19 14:21:00,0.0,1410.98,1411.0,1410.7,48,6772217.0,1407.616
2025-12-19 14:22:00,0.0,1410.55,1410.89,1410.03,75,10579094.0,1407.626
2025-12-19 14:23:00,0.0,1410.2,1410.5,1410.2,43,6063987.0,1407.631
2025-12-19 14:24:00,0.0,1411.0,1411.0,1410.19,100,14107789.0,1407.646
2025-12-19 14:25:00,0.0,1410.83,1411.5,1410.83,97,13687823.0,1407.661
2025-12-19 14:26:00,0.0,1410.36,1410.83,1410.36,38,5360093.0,1407.666
2025-12-19 14:27:00,0.0,1410.77,1410.99,1410.34,48,6771109.0,1407.672
2025-12-19 14:28:00,0.0,1410.69,1410.7,1410.15,45,6349643.0,1407.678
2025-12-19 14:29:00,0.0,1411.0,1411.0,1410.68,105,14821997.0,1407.693
2025-12-19 14:30:00,0.0,1411.2,1411.3,1410.93,82,11584530.0,1407.705
2025-12-19 14:31:00,0.0,1411.88,1411.88,1411.16,92,12995034.0,1407.72
2025-12-19 14:32:00,0.0,1411.51,1411.81,1411.51,79,11154459.0,1407.734
2025-12-19 14:33:00,0.0,1411.41,1411.6,1411.4,34,4797704.0,1407.74
2025-12-19 14:34:00,0.0,1411.49,1411.49,1411.13,57,8044581.0,1407.749
2025-12-19 14:35:00,0.0,1411.3,1411.42,1410.98,65,9172440.0,1407.758
2025-12-19 14:36:00,0.0,1411.15,1411.39,1410.94,61,8608245.0,1407.768
2025-12-19 14:37:00,0.0,1411.4,1411.41,1411.18,92,12984308.0,1407.782
2025-12-19 14:38:00,0.0,1412.08,1412.45,1411.4,293,41369911.0,1407.833
2025-12-19 14:39:00,0.0,1411.82,1412.08,1411.82,61,8613004.0,1407.844
2025-12-19 14:40:00,0.0,1412.2,1412.2,1411.73,120,16900555.0,1407.865
2025-12-19 14:41:00,0.0,1412.01,1412.4,1411.92,66,9320068.0,1407.877
2025-12-19 14:42:00,0.0,1412.13,1412.38,1412.0,59,8331927.0,1407.888
2025-12-19 14:43:00,0.0,1412.05,1412.25,1411.96,84,11861613.0,1407.903
